Player,#,Class,Pos,Height,Weight,Hometown,RSCI Top 100,Summary,Season
Kyle Kuric,14,SR,G,6-4,195,Evansville IN,,12.6 Pts 4.2 Reb 1.2 Ast,2011-12
Russ Smith,2,SO,G,6-0,165,Brooklyn NY,,11.5 Pts 2.5 Reb 1.9 Ast,2011-12
Chris Smith,5,SR,G,6-2,195,Millstone NJ,,9.7 Pts 3.6 Reb 1.9 Ast,2011-12
Chane Behanan,21,FR,F,6-6,250,Cincinnati OH,24 (2011),9.5 Pts 7.5 Reb 0.8 Ast,2011-12
Gorgui Dieng,10,SO,C,6-11,245,"Kébémer, Senegal",69 (2010),9.1 Pts 9.1 Reb 1.1 Ast,2011-12
Peyton Siva,3,JR,G,6-0,185,Seattle WA,27 (2009),9.1 Pts 3.2 Reb 5.6 Ast,2011-12
Jared Swopshire,12,JR,F,6-8,210,St. Louis MO,,3.3 Pts 2.8 Reb 0.4 Ast,2011-12
Rakeem Buckles,5,JR,F,6-7,215,Miami FL,54 (2009),4.0 Pts 3.8 Reb 0.3 Ast,2011-12
Wayne Blackshear,25,FR,G,6-5,215,Chicago IL,26 (2011),2.5 Pts 1.4 Reb 0.1 Ast,2011-12
Angel Nunez,2,FR,F,6-8,202,Washington Heights NY,,2.0 Pts 0.7 Reb 0.2 Ast,2011-12
Elisha Justice,22,SO,F,5-10,175,Pikeville KY,,0.9 Pts 0.4 Reb 0.4 Ast,2011-12
Kevin Ware,0,FR,G,6-2,170,Conyers GA,74 (2011),1.0 Pts 0.7 Reb 0.5 Ast,2011-12
Tim Henderson,15,SO,G,6-2,195,Louisville KY,,1.3 Pts 0.8 Reb 0.5 Ast,2011-12
Mike Marra,33,JR,G,6-5,215,Smithfield RI,,6.0 Pts 2.5 Reb 1.0 Ast,2011-12
Zach Price,21,FR,C,6-10,250,Louisville KY,58 (2011),0.6 Pts 0.8 Reb 0.0 Ast,2011-12
Mark Jackson,11,FR,G,6-3,210,Brooklyn CA,,1.7 Pts 1.0 Reb 0.0 Ast,2011-12
Stephan Van Treese,44,JR,F,6-9,245,Indianapolis IN,,1.3 Pts 2.0 Reb 0.0 Ast,2011-12
Russ Smith,2,JR,G,6-0,165,Brooklyn NY,,18.7 Pts 3.3 Reb 2.9 Ast,2012-13
Peyton Siva,3,SR,G,6-0,185,Seattle WA,27 (2009),10.0 Pts 2.4 Reb 5.7 Ast,2012-13
Chane Behanan,21,SO,F,6-6,250,Cincinnati OH,24 (2011),9.8 Pts 6.5 Reb 1.1 Ast,2012-13
Luke Hancock,11,JR,F,6-6,200,Roanoke VA,,8.1 Pts 2.6 Reb 1.4 Ast,2012-13
Gorgui Dieng,10,JR,C,6-11,245,"Kébémer, Senegal",69 (2010),9.8 Pts 9.4 Reb 2.0 Ast,2012-13
Wayne Blackshear,20,SO,G,6-5,215,Chicago IL,26 (2011),7.6 Pts 3.1 Reb 0.6 Ast,2012-13
Montrezl Harrell,24,FR,F,6-8,235,Tarboro NC,85 (2012),5.7 Pts 3.6 Reb 0.2 Ast,2012-13
Kevin Ware,5,SO,G,6-2,170,Conyers GA,74 (2011),4.5 Pts 1.8 Reb 0.8 Ast,2012-13
Stephan Van Treese,44,JR,F,6-9,245,Indianapolis IN,,1.7 Pts 3.1 Reb 0.2 Ast,2012-13
Tim Henderson,15,JR,G,6-2,195,Louisville KY,,0.8 Pts 0.4 Reb 0.1 Ast,2012-13
Zach Price,25,SO,C,6-10,250,Louisville KY,58 (2011),1.3 Pts 1.4 Reb 0.0 Ast,2012-13
Michael Baffour,32,JR,G,6-2,170,Lexington KY,,0.3 Pts 0.2 Reb 0.0 Ast,2012-13
Logan Baumann,14,FR,G,6-0,165,Hartford KY,,0.5 Pts 0.8 Reb 0.0 Ast,2012-13
Jordan Bond,22,FR,G,6-0,165,Raleigh NC,,0.0 Pts 0.6 Reb 0.2 Ast,2012-13
Russ Smith,2,SR,G,6-0,165,Brooklyn NY,,18.2 Pts 3.3 Reb 4.6 Ast,2013-14
Montrezl Harrell,24,SO,F,6-8,235,Tarboro NC,85 (2012),14.0 Pts 8.4 Reb 1.2 Ast,2013-14
Luke Hancock,11,SR,F,6-6,200,Roanoke VA,,12.3 Pts 2.6 Reb 2.2 Ast,2013-14
Chris Jones,3,JR,F,5-10,175,Memphis TN,,10.2 Pts 2.3 Reb 2.9 Ast,2013-14
